title,subtitle,author,date,section,text,url
VÍDEO – Protesto contra o golpe de 64 no Ibirapuera tem “Lula Livre”,,Pedro Zambarda de Araujo,31/03/2019 19:47:03,brasil,,https://www.diariodocentrodomundo.com.br/video-protesto-contra-o-golpe-de-64-no-ibirapuera-tem-lula-livre/
"DCM Café da Manhã: Brasil deve liberdade plena a Lula, não prisão domiciliar",,Joaquim de Carvalho,03/04/2019 08:23:25,brasil,,https://www.diariodocentrodomundo.com.br/dcm-cafe-da-manha-brasil-deve-liberdade-plena-a-lula-nao-prisao-domiciliar/
Advogado que entregou à Justiça lista com suposta propina a Gilmar Mendes é absolvido. Por Joaquim de Carvalho,,Joaquim de Carvalho,02/04/2019 14:03:09,brasil, ,https://www.diariodocentrodomundo.com.br/advogado-que-entregou-a-justica-lista-com-suposta-propina-a-gilmar-mendes-e-absolvido-por-joaquim-de-carvalho/
DCM Café da Manhã: Reforma da Previdência é tchutchuca com os poderosos,,Joaquim de Carvalho,04/04/2019 08:30:02,brasil,,https://www.diariodocentrodomundo.com.br/dcm-cafe-da-manhajornalista-alemao-baseado-no-chile-explica-por-que-o-modelo-de-paulo-guedes-fracassou/
VÍDEO – Protesto contra o golpe de 64 em Niterói tem “Caminhando e Cantando”,,Pedro Zambarda de Araujo,31/03/2019 19:53:41,brasil,,https://www.diariodocentrodomundo.com.br/video-protesto-contra-o-golpe-de-64-em-niteroi-tem-caminhando-e-cantando/
DCM Café da Manhã: Presidência da República afrontou a Constituição,,Joaquim de Carvalho,01/04/2019 08:57:44,brasil,,https://www.diariodocentrodomundo.com.br/dcm-cafe-da-manha-presidencia-da-republica-afrontou-a-constituicao/
Essencial do DCM – Bolsonaro diz que não nasceu para ser presidente: por que não pede pra sair?,,Pedro Zambarda de Araujo,05/04/2019 21:00:02,politica,,https://www.diariodocentrodomundo.com.br/essencial-do-dcm-bolsonaro-diz-que-nao-nasceu-para-ser-presidente-por-que-nao-pede-pra-sair/
Exclusivo: MP quer prisão de youtuber bolsonarista Nando Moura por difamação contra estudante negra,,Diario do Centro do Mundo,01/04/2019 13:13:22,brasil,"O Ministério Público do Estado de São Paulo requereu junto à Justiça, em processo penal que corre na Vara do Juizado Especial de Embu das Artes (SP), que o youtuber Nando Moura seja condenado por injúria e difamação de uma estudante do interior de São Paulo, a quem chamou de “vagabunda” por três vezes em vídeo publicado na internet e visto por mais de 100 mil pessoas. A pena requerida pela promotoria paulista é de dois anos de detenção. O episódio ocorreu no final de 2015, mas o processo número 1013015-97.2016.8.26.0506 estava parado até janeiro deste ano. Isso porque os advogados da estudante ofendida pelo youtuber levaram quase dois anos até conseguir entregar a citação para o réu, conhecido defensor dos ideais de direita e do governo de Jair Bolsonaro. Durante este tempo, oficiais de Justiça buscaram Moura nos endereços constantes em suas contas de telefone celular e outros serviços, e também na casa de sua mãe (que disse que o filho tinha se mudado dali, mas que ela não sabia para onde), sem nunca encontrá-lo. Foi só quando Moura passou a ser parte de outra ação judicial, ali informando seu endereço de fato, já neste ano, que a Justiça citou o réu e deu andamento ao processo. A queixa crime contra o youtuber se deu em virtude de um vídeo a respeito de um episódio de racismo que tinha ocorrido na Faculdade de Direito da USP em Ribeirão Preto. Nele, Nando Moura se referia a uma estudante negra que havia tomado parte em protestos contra a manifestação racista. Suas palavras que ensejaram o processo penal foram: “É isso que você quer, não é, sua vagabunda? Se fazer de coitada para conseguir mamar nas tetas do governo. É ou não é? É claro que é!” No mesmo vídeo, Moura chama a vítima de vagabunda mais duas vezes. Por determinação judicial, o material foi excluído do Youtube, mas segue anexado aos autos processuais. O DCM não vai declinar o nome da estudante. Foi ela quem instaurou a queixa crime contra Nando Moura, por injúria e difamação. No dia 29 de janeiro deste ano, o Ministério Público protocolou petição ao juizado que cuida do caso, requerendo a condenação do réu pelos crimes de que é acusado, com pena de dois anos de detenção, conforme despachou a promotora Juliana L. B. Magalhães: “O agente, por três vezes, injuriou a vítima, chamando-a de “vagabunda”. (…) Ademais, o agente, neste mesmo vídeo, em outro momento, aduz que a vítima quer “mamar nas tetas do governo”. Entendo que essa afirmação é difamatória. (…) Entendo que houve concurso material, chegando a pena máxima a 02 anos.” Em outubro de 2015, foram encontradas, nas paredes de um banheiro da Faculdade de Direito da USP – campus de Ribeirão Preto, as seguintes pichações: “Aqui é faculdade de gente inteligente (e branca). Cotas pra preto? Macacos cotistas fora da FDRP!” Após a repercussão gerada pelo fato, a administração da Faculdade de Direito criou uma comissão sindicante para descobrir o autor das ofensas e repudiou veementemente seu conteúdo. Além disso, uma entidade chamada Coletivo Nergro, formada por alunos negros da instituição – elaborou uma intervenção que envolvia a leitura de um texto de repúdio ao ocorrido. A vítima de Nando Moura foi a estudante escolhida para ler a mensagem em todas as salas de aula da faculdade, com autorização da diretoria. Na intervenção, a estudante, além de repudiar especificamente as pichações, protestava contra as circunstâncias históricas do Brasil que contribuem para o “racismo estrutural” existente no país. Em uma das salas, o discurso lido pela estudante foi gravado por um dos alunos, e logo depois publicado e replicado nas redes sociais. Foi o conteúdo deste material que incitou a ira de Nando Moura. Em vídeo divulgado pelo youtuber, a estudante, chamada de vagabunda por três vezes, é acusada de fazer-se de vítima de uma situação que já não existiria mais. Nando Moura disse que a escravidão acabou há mais de um século e que, por isso, hoje em dia, todos são iguais, não importando a cor da pele, e que tudo o que ela estava querendo era obter cotas raciais no sistema público de ensino para, assim, “mamar nas tetas do governo”. Em novembro do ano passado, o então candidato a presidente eleito da República postou a mensagem abaixo, recomendando o canal de Nando Moura como “excelente opção de informação no Youtube”. De acordo com a Defesa de Nando Moura, nenhum crime ocorreu, pois suas palavras devem ser vistas como “exercício claro e inalienável de seu direito de expressão”. Além disso, afirma a Defesa, o fato de a estudante ofendida participar de um coletivo de combate ao racismo a torna sujeita a este tipo de crítica: “Há de se ressaltar que a Querelante, (SIC) colocou-se em posição pública de destaque, qual seja, representante de organização política formada por alunos negros da Faculdade de Direito da USP de Ribeirão Preto, denominada ‘Coletivo Negro’. Nessa condição, evidentemente, a Querelante está naturalmente mais sujeita à crítica, ampliando-se sobremaneira o direito à liberdade de expressão.” A Justiça deverá proferir sentença em primeira instância sobre o caso nas próximas semanas ou meses. Como se observa no vídeo abaixo, esta não é a primeira pessoa a quem Nando Moura ataca em seu canal de Youtube.",https://www.diariodocentrodomundo.com.br/exclusivo-mp-quer-prisao-de-youtuber-bolsonarista-nando-moura-por-difamacao-contra-estudante-negra/
VÍDEO – Manifestantes botam fogo em boneco de Ustra no protesto contra o golpe de 64: “Assassino!”,,Pedro Zambarda de Araujo,31/03/2019 23:33:27,brasil,,https://www.diariodocentrodomundo.com.br/video-manifestantes-botam-fogo-em-boneco-de-ustra-no-protesto-contra-o-golpe-de-64-assassino/
Os camponeses torturados pela ditadura no Brasil merecem respeito e indenização. Por Ana Maria Oliveira,,Diario do Centro do Mundo,01/04/2019 18:41:15,brasil,.x.x.x.x.,https://www.diariodocentrodomundo.com.br/os-camponeses-torturados-pela-ditadura-no-brasil-merecem-respeito-e-indenizacao-por-ana-maria-oliveira/
